spesa	dove	stato	tipo	importo
Assic_person 	Claudio	stabile	assodir	1800
Assic_person 	Efisia	stabile	empam	1400
Assic_person 	Efisia	stabile	marsh	500
Assic_person 	Efisia	stabile	varie_ass	600
Assic_person 	Claudio	meno	fasdac	3650
Assic_person 	Claudio	stabile	fasdac	1000
Auto	Claudio	stabile	assicu 	760
Auto	Claudio	stabile	autostrada	120
Auto	Claudio	stabile	benzina	1200
Auto	Claudio	stabile	bollo	170
Auto	Claudio	stabile	manu 	400
Auto	Efisia	stabile	assicu 	610
Auto	Efisia	stabile	benzina	900
Auto	Efisia	stabile	manu 	400
Figlie	Claudio	stabile	gestione	3300
Figlie	Claudio	stabile	gestione	1800
Figlie	Efisia	stabile	gestione	3300
Figlie	Efisia	stabile	gestione	1800
Figlie	Claudio	meno	universita	1250
Figlie	Efisia	meno	universita	1250
Gest_Casa	Atorino	stabile	extra	1000
Gest_Casa	Atorino	stabile	riscald	2900
Gest_Casa	Atorino	stabile	spese	2000
Gest_Casa	Atorre	stabile	extra	700
Gest_Casa	Atorre	stabile	riscald	900
Gest_Casa	Atorino	meno	extra	2000
Tasse_casa	Atorino	piu	ici  	2000
Tasse_casa	Atorino	stabile	rifiuti	400
Tasse_casa	Atorre	stabile	ici  	728
Tasse_casa	Atorre	stabile	rifiuti	200
utenze	Atorre	stabile	telefono	480
utenze	Claudio	stabile	cell.	276
utenze	Efisia	stabile	cell.	720
Utenze_casa	Atorino	stabile	canoneTV	120
Utenze_casa	Atorino	stabile	gas	750
Utenze_casa	Atorino	stabile	luce	400
Utenze_casa	Atorino	stabile	telefono	480
Utenze_casa	Atorre	stabile	acqua	150
Utenze_casa	Atorre	stabile	canoneTV	120
Utenze_casa	Atorre	stabile	luce	200
